date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:32	50080/50080	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Jan%202013%2006:00:50%20GMT	http://www.bmts.ae/plugins/system/rokbox/rokbox.js	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/plugins/system/rokbox/rokbox.js	(from http://www.bmts.ae/)
11:23:32	12228/12228	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Jan%202013%2005:54:12%20GMT	http://www.bmts.ae/modules/mod_unite_nivoslider/tmpl/js/jquery.nivo.slider.pack.js	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/modules/mod_unite_nivoslider/tmpl/js/jquery.nivo.slider.pack.js	(from http://www.bmts.ae/)
11:23:33	1424/1424	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Jan%202013%2005:51:08%20GMT	http://www.bmts.ae/modules/mod_roknavmenu/themes/fusion/js/sfhover.js	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/modules/mod_roknavmenu/themes/fusion/js/sfhover.js	(from http://www.bmts.ae/)
11:23:33	17266/17266	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Jan%202013%2005:40:20%20GMT	http://www.bmts.ae/media/com_finder/js/autocompleter.js	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/media/com_finder/js/autocompleter.js	(from http://www.bmts.ae/)
11:23:33	896/896	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2021:06:34%20GMT	http://www.bmts.ae/templates/system/css/system.css	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/templates/system/css/system.css	(from http://www.bmts.ae/)
11:23:33	30/30	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202013%2006:00:50%20GMT	http://www.bmts.ae/plugins/system/rokbox/	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/plugins/system/rokbox/index.html	(from http://www.bmts.ae/)
11:23:33	2730/2730	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2021:06:34%20GMT	http://www.bmts.ae/templates/system/css/general.css	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/templates/system/css/general.css	(from http://www.bmts.ae/)
11:23:34	58165/58165	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202013%2011:04:46%20GMT	http://www.bmts.ae/templates/bmtsversion6/css/default.css	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/templates/bmtsversion6/css/default.css	(from http://www.bmts.ae/)
11:23:35	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Fri,%2004%20Jan%202013%2006:04:56%20GMT	http://www.bmts.ae/templates/bmtsversion6/images/favicon.ico	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/templates/bmtsversion6/images/favicon.ico	(from http://www.bmts.ae/)
11:23:35	6327/6327	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Jan%202013%2005:06:44%20GMT	http://www.bmts.ae/templates/bmtsversion6/images/logo.png	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/templates/bmtsversion6/images/logo.png	(from http://www.bmts.ae/)
11:23:35	33308/33308	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2009:23:37%20GMT	http://www.bmts.ae/about-us-bmts	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/about-us-bmts.html	(from http://www.bmts.ae/)
11:23:36	32402/32402	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2009:23:38%20GMT	http://www.bmts.ae/about-us-bmts/history	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/about-us-bmts/history.html	(from http://www.bmts.ae/)
11:23:37	32159/32159	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2009:23:39%20GMT	http://www.bmts.ae/about-us-bmts/people	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/about-us-bmts/people.html	(from http://www.bmts.ae/)
11:23:37	238331/238331	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2030%20Sep%202014%2021:06:34%20GMT	http://www.bmts.ae/media/system/js/mootools-more.js	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/media/system/js/mootools-more.js	(from http://www.bmts.ae/)
11:23:37	33294/33294	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2009:23:39%20GMT	http://www.bmts.ae/about-us-bmts/vision-mision-values	C:/Users/user/Documents/bmts/bmts/www.bmts.ae/about-us-bmts/vision-mision-values.html	(from http://www.bmts.ae/)
